service_code,family_code,family_name_ar,subcategory_ar,name_ar,name_en,in_workbook,in_service_plan_seeder,in_live_db,catalog_status,exists_note
CERT-001,JEA-CERT,الشهادات,,شهادة المطابقة,Compliance Certificate,YES,YES,YES,CANONICAL_SERVICE,
CERT-002,JEA-CERT,الشهادات,,سلامة المنشأ,Structural Safety,YES,YES,YES,CANONICAL_SERVICE,
CERT-003,JEA-CERT,الشهادات,,شهادة تصنيف مكتب,Office Classification Certificate,YES,YES,YES,CANONICAL_SERVICE,
CERT-004,JEA-CERT,الشهادات,,شهادة ملكية مكتب,Office Ownership Certificate,YES,YES,YES,CANONICAL_SERVICE,
CERT-005,JEA-CERT,الشهادات,,شهادة اختصاصات مكتب,Office Specialties Certificate,YES,YES,YES,CANONICAL_SERVICE,
CERT-006,JEA-CERT,الشهادات,,باقي الشهادات الرسمية,Other Official Certificates,NO,YES,YES,CANONICAL_SERVICE_SEEDER_ONLY,Present in seeder + DB but absent from the audited workbook (57 workbook rows only cover CERT-001..005)
DEC-001,JEA-DEC,قرارات هيئة المكاتب الهندسية,,تقديم طلبات المكاتب للهيئة,Office Requests to the Board,YES,YES,YES,CANONICAL_SERVICE,
DEC-002,JEA-DEC,قرارات هيئة المكاتب الهندسية,,تقديم شكاوى المواطنين للهيئة,Citizen Complaints to the Board,YES,YES,YES,CANONICAL_SERVICE,
DEC-003,JEA-DEC,قرارات هيئة المكاتب الهندسية,,تقديم طلبات الدوائر الحكومية,Government Department Requests,YES,YES,YES,CANONICAL_SERVICE,
DEC-004,JEA-DEC,قرارات هيئة المكاتب الهندسية,,تقديم شكاوى المهندسين,Engineer Complaints,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-001,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات الأبنية المقترحة,Proposed Building Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-002,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات الأبنية القائمة,Existing Building Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-003,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات الأبنية المقترحة فوق الأبنية القائمة,Additions Over Existing Buildings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-004,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات الهدم,Demolition Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-005,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات المشاريع الكبرى,Large Projects Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-006,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات مشاريع الطاقة,Energy Projects Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-007,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات رخص المهن,Professional License Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-008,JEA-PROJ,خدمات تصديق المخططات الهندسية,,المخططات التعديلية,Modification Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-009,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات إعادة التأهيل / الصيانة,Rehabilitation / Maintenance Drawings,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-010,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات تعديلية / مجلس البناء الوطني,National Building Council Modifications,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-011,JEA-PROJ,خدمات تصديق المخططات الهندسية,,إعادة التصديق,Re-approval,YES,YES,YES,CANONICAL_SERVICE,
DRW-P-012,JEA-PROJ,خدمات تصديق المخططات الهندسية,,مخططات الدفاع المدني,Civil Defence Drawings,YES,YES,YES,CANONICAL_SERVICE,
ENG-001,JEA-ENG,المهندسون العاملون في المكاتب الهندسية,,تعيين / تحويل / إقالة مهندس (كادر المكتب),Engineer Assignment/Transfer/Dismissal (Office Roster),YES,YES,YES,CANONICAL_SERVICE,
ENG-002,JEA-ENG,المهندسون العاملون في المكاتب الهندسية,,تعيين / تحويل / إقالة مهندس (كادر المشروع),Engineer Assignment/Transfer/Dismissal (Project Roster),YES,YES,YES,CANONICAL_SERVICE,
