scenario_id,scenario_title,area,classification,test_files,blocking_ids,notes
TC-APP-001,"Applicant creates SRV-001 draft","draft creation",EXECUTABLE_ACCEPTANCE,tests/Feature/Srv001EndToEndFlowTest.php,,"legacy pilot path"
TC-APP-002,"Draft persists across sessions","draft creation",EXECUTABLE_ACCEPTANCE,tests/Feature/Srv001EndToEndFlowTest.php,,
TC-SUB-001,"Submit routes through atomic use case",submission,EXECUTABLE_ACCEPTANCE,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,"RES-SG06-01 closure"
TC-SUB-002,"Government sector rejected → SRV-006",submission,EXECUTABLE_ACCEPTANCE,tests/Feature/Srv001EndToEndFlowTest.php,,
TC-BIND-001,"ServiceDefinitionVersion binding recorded","service-version binding",EXECUTABLE_ACCEPTANCE,tests/Feature/UseCases/SubmitApplicationUseCaseTest.php,,
TC-SNAP-001,"Calculation snapshots persisted per rule","calculation snapshots",EXECUTABLE_ACCEPTANCE,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,
TC-ELIG-001,"Office eligibility gate — ELIGIBLE",eligibility,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,
TC-ELIG-002,"Office eligibility gate — CONTRACT_MISSING",eligibility,SIMULATION,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,"fail-closed default"
TC-QUOTA-001,"Yearly quota exhausted returns QUOTA_EXHAUSTED",quota,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,
TC-SPEC-001,"Specialization suspension blocks submission",specialization,BLOCKED_PENDING_CONTRACT,,OD-30,"FR-SS-082 — port only"
TC-NOTE-001,"Reinforcement/mandatory notes retrieval","mandatory notes",BLOCKED_PENDING_CONTRACT,,OD-30,"Oracle reinforcement-note contract"
TC-DOC-001,"Signed contract locks legally protected fields","signed-contract locking",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Documents/SignedContractLockTest.php,,
TC-DOC-002,"Attachment limit blocked when configuration unpublished",documents,BLOCKED_PENDING_OD,tests/Unit/Domain/Documents/DocumentMetadataTest.php,OD-24,"OD-24 unresolved"
TC-DOC-003,"MIME mismatch flagged",documents,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,
TC-DOC-004,"Malware UNKNOWN not treated as clean",documents,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Documents/PartialEditGrantTest.php,,
TC-PEG-001,"Valid PartialEditGrant permits in-scope edit",PartialEditGrant,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Documents/UseCases/PartialEditGrantUseCasesTest.php,,
TC-PEG-002,"Expired PartialEditGrant rejected",PartialEditGrant,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Documents/UseCases/PartialEditGrantUseCasesTest.php,,
TC-PEG-003,"PartialEditGrant persistence + atomicity",PartialEditGrant,BLOCKED_PENDING_ADAPTER,,RES-TD07-02,"persistence + audit writer pending"
TC-CALC-001,"Exploration matrix legacy pilot compute",calculations,EXECUTABLE_ACCEPTANCE,tests/Unit/ExplorationRequirementMatrixTest.php,,
TC-CALC-002,"Wells count SIMULATION_ONLY typed outcome",calculations,SIMULATION,tests/Feature/Domain/Srv001/Srv001CalculatorOutcomeClassifierTest.php,OD-11,"PROVISIONAL rule"
TC-CALC-003,"Net-depth SIMULATION_ONLY typed outcome",calculations,SIMULATION,tests/Feature/Domain/Srv001/Srv001CalculatorOutcomeClassifierTest.php,"OD-19,OD-20",
TC-WF-001,"Draft → submitted transition ALLOWED",workflow,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,,
TC-WF-002,"Second-reviewer final approval routing",workflow,BLOCKED_PENDING_OD,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,OD-34,"SUSPENDED — blocked pending OD-34"
