TABLE,MIGRATION_PATH,LOGICAL_OWNER,PHYSICAL_MODULE,PRODUCTION_WRITERS,PRODUCTION_READERS,CROSS_MODULE_ACCESS,VERSIONING,LIFECYCLE,MULTI_TENANT_SCOPE,RISK_ZONE,EVIDENCE
service_definitions,backend/modules/JeaServices/Database/Migrations/2025_01_01_000003_create_service_definitions_table.php,JeaServices,JeaServices,"ServiceCatalogController::store/update/lock/unlock, seeders","ServiceCatalogController::index/show, ApplicationController (all), FeeCalculator, SchemaValidator, WorkflowEngine, JeaProjects.CapacityGuard.serviceHasAreaField",read by JeaProjects (area field detection),NONE (no schema_version column),permanent (soft-delete not enabled),shared JEA catalog (withoutOrgScope on read),SCHEMA_VERSIONING_MISSING — in-progress apps see current schema not submission-time,migration.php:17 header comment declares schema JSON as source of truth
applications,backend/modules/JeaServices/Database/Migrations/2025_01_01_000004_create_applications_table.php,JeaServices,JeaServices,"ApplicationController::store/update, WorkflowEngine::submit/claim/decide/confirmPayment*/issueCertificate, Srv001Guard::validate (persists derived values)","ApplicationController, ReviewQueue*, ReviewDashboard, PaymentCallback, PaymentsController, CertificatesController, JeaDiscipline.SanctionGuard, JeaProjects.CapacityGuard, JeaProjects.QuotaLedger","JeaProjects (area, applicant_id → engineers, service_definition_id read); JeaDiscipline (sanction check); CadastralConflictGuard queries cross-org",review_round column,per-app persistent (terminal at certificate_issued|rejected),organization_id + BelongsToOrganization trait,"DERIVED_VALUE_STALENESS (mitigated: recomputed on re-submit), FEE_IMMUTABILITY (BY DESIGN)",migration.php:17
application_counters,backend/modules/JeaServices/Database/Migrations/*_create_application_counters_table.php,JeaServices,JeaServices,Application::generateReference (lockForUpdate),Application::generateReference,none,per (service_id year),permanent,per-org effectively,SAFE (H-02 pattern),"RealConcurrencyOnPostgresTest, ApplicationReferenceSerialTest"
certificate_counters,backend/modules/JeaServices/Database/Migrations/*_create_certificate_counters_table.php,JeaServices,JeaServices,WorkflowEngine::generateCertificateNumber (lockForUpdate),WorkflowEngine::generateCertificateNumber,none,per (organization_id year),permanent,per-org,SAFE (H-02 pattern),"RealConcurrencyOnPostgresTest, CertificateSerialAllocationTest"
application_documents,backend/modules/JeaServices/Database/Migrations/*_create_application_documents_table.php,JeaServices,JeaServices,"ApplicationController::uploadDocument","ApplicationController::downloadDocument, SchemaValidator::validateDocuments, OwnerMatchClearanceGuard (clearance docs)",OwnerMatchClearanceGuard reads clearance-type docs,none,per-app persistent,inherit from application,none identified,ApplicationController.php
application_reviews,backend/modules/JeaServices/Database/Migrations/*_create_application_reviews_table.php,JeaServices,JeaServices,"WorkflowEngine::claim, WorkflowEngine::decide, WorkflowEngine::release","ReviewQueueController, ReviewDashboardController",none,none,per-app persistent,inherit from application,none identified,WorkflowEngine.php
certificates,backend/modules/JeaServices/Database/Migrations/*_create_certificates_table.php,JeaServices,JeaServices,"WorkflowEngine::issueCertificate","CertificatesController::downloadPdf/verify",none,per-cert persistent,permanent (soft-delete),per-org,HMAC secret rotation (out of scope here),"CertificateVerifyTest"
payment_callbacks,backend/modules/JeaServices/Database/Migrations/*_create_payment_callbacks_table.php,JeaServices,JeaServices,PaymentCallbackController::handle (insertOrIgnore),"PaymentCallbackController (idempotency check), audit",Nashmi integration (paymentReceipt trace),unique(reference) enforces idempotency,persistent,not org-scoped (gateway is global),SAFE (CS-03 pattern),PaymentCallbackControllerTest
office_registration_requests,backend/modules/JeaServices/Database/Migrations/*_create_office_registration_requests_table.php,JeaServices,JeaServices,"OfficeRegistrationController::store","OfficeRegistrationController::show, OfficeRegistrationApprovalController",JeaMembershipVerifier for identity verification,none,persistent (approved/rejected),not org-scoped (self-signup),SAFE (captcha + rate-limit),OfficeRegistrationCaptchaTest
manual_references,backend/modules/JeaServices/Database/Migrations/*_create_manual_references_table.php,JeaServices,JeaServices,ManualReferencesSeeder,ManualReferenceController::index,frontend Apply.tsx links,none,permanent,none (shared reference data),none identified,ManualReferenceControllerTest
manual_reference_links,backend/modules/JeaServices/Database/Migrations/*_create_manual_reference_links_table.php,JeaServices,JeaServices,ManualReferenceLinksSeeder,ManualReferenceController,none,none,permanent,none,none identified,ManualReferenceLinksSeederTest
audit_logs,backend/modules/Platform/Database/Migrations/*_create_audit_logs_table.php,Platform,Platform,every WorkflowEngine mutation + all admin mutations,admin audit dashboard,cross-module writers,none,append-only,per-org (subject organization_id),none identified,AuditLogObserver
notifications,backend/modules/Platform/Database/Migrations/*_create_notifications_table.php,Platform,Platform,"JeaNotificationService::send/emitExpiryReminder, NotificationService::dispatch/sendToUser","Notifications inbox UI, notification-mark-read endpoints",JeaNotificationService owns JEA emitters (H-07 boundary),none,persistent,per-user + per-org,SAFE (deduplication on kind+threshold),JeaNotificationServiceTest
projects,backend/modules/JeaProjects/Database/Migrations/*_create_projects_table.php,JeaProjects,JeaProjects,"ProjectController CRUD",Application creation auto-fill (area_m2 governorate),ApplicationController reads for form pre-fill,none,persistent,per-org (owner_user_id),none identified,ProjectControllerTest
engineers,backend/modules/JeaProjects/Database/Migrations/*_create_engineers_table.php,JeaProjects,JeaProjects,EngineerController CRUD,"CapacityGuard, QuotaLedger, Application form (engineer_picker field)","JeaServices reads via office_user_id (JORD-77 office-owner scope)",none,persistent,per-office (office_user_id),SAFE (H-01 org-scope),EngineerControllerTest
quota_consumptions,backend/modules/JeaProjects/Database/Migrations/*_create_quota_consumptions_table.php,JeaProjects,JeaProjects,"QuotaLedger::recordApproval (on approval), QuotaLedger::releaseFor (on soft-delete)",CapacityGuard reads for submit-time check,unique(application_id engineer_id discipline) idempotency,per-cert or per-approval cycle,persistent,per-org effectively via engineer,SAFE (JORD-68 unique constraint),QuotaConsumptionOnApprovalTest
office_ceilings,backend/modules/JeaProjects/Database/Migrations/*_create_office_ceilings_table.php,JeaProjects,JeaProjects,admin OfficeSettingsController,CapacityGuard + QuotaLedger,cross-module read from JeaServices,none,persistent,per-org (office_user_id),none identified,OfficeSettingsControllerTest
sanctions,backend/modules/JeaDiscipline/Database/Migrations/*_create_sanctions_table.php,JeaDiscipline,JeaDiscipline,"SanctionService (issued via admin flow)",SanctionGuard on every submit,cross-module read from JeaServices,none,persistent,per-org (subject org),"NULL_HANDLING (effective_until = NULL for permanent sanctions requires IS NULL branch in guard — assumed correct)",SanctionGuardTest
complaints,backend/modules/JeaDiscipline/Database/Migrations/*_create_complaints_table.php,JeaDiscipline,JeaDiscipline,ComplaintController CRUD,ComplaintsAdmin.tsx,SupervisionTransferService coupling,none,persistent,per-org,none identified,ComplaintControllerTest
legal_fines,backend/modules/JeaDiscipline/Database/Migrations/*_create_legal_fines_table.php,JeaDiscipline,JeaDiscipline,LegalFineController CRUD,LegalFinesAdmin.tsx,none,none,persistent,per-org,none identified,LegalFineControllerTest
supervision_transfers,backend/modules/JeaDiscipline/Database/Migrations/*_create_supervision_transfers_table.php,JeaDiscipline,JeaDiscipline,"SupervisionTransferService (auto on sanction), admin approval","SupervisionTransfersAdmin.tsx",cross-module trigger from sanction,unique(application_id),persistent,per-org,"RACE_4: sanction→transfer synchronous creation is not atomic (recommendation: convert to scheduled job)",Sanctions/SupervisionTransfersTest
annual_dues,backend/modules/JeaDues/Database/Migrations/*_create_annual_dues_table.php,JeaDues,JeaDues,"annual scheduled task, admin manual entry","dues inbox",none,none,recurring per year,per-org,none identified,JeaDuesTest
integration_cycles,backend/modules/Integrations/Nashmi/Database/Migrations/*_create_integration_cycles_table.php,Integrations,Nashmi,"Nashmi inbound requests (ValidateIntegrationKey → CycleController)",cycle dashboard,references service_definitions,none,per-cycle persistent,per-org (subject),SAFE (CS-07 hardened middleware),NashmiSecurityTest
