discrepancy_id,provision_id,service_code,repository_location,existing_repository_behavior,canonical_manual_behavior,discrepancy_type,severity,implementation_blocking,recommended_action,status
DISC-001,JEA-TM2025-CH07-P093-001,SRV-001,SiteSurveyFeesSeeder.php feeBlock() line ~104,"fee is per_unit(basis=length_lm, rate=0.15) + 1% syndicate surcharge. Comment on line ~15 quotes '(150) فلساً لكل متر طولي عن أعمال استطلاع الموقع' from p.96 as the fee source.","Per manual p.093 §1.هـ the MINIMUM SURVEY-OFFICE FEE is 20 JOD/lm (twenty JOD per linear meter). The 150 fils/lm (0.15 JOD/lm) on p.096 §4.أ.2 is a separate JEA SYNDICATE PRACTICE FEE (رسم ممارسة مهنة) collected by JEA — NOT the office's minimum billable fee.",WRONG_EFFECT,CRITICAL,YES,"Two corrective options: (A) Change SRV-001..006 fee to per_unit(length_lm, 20.00) as the office fee + add a per_unit(length_lm, 0.15) surcharge for the syndicate practice fee + retain the 1% syndicate on total. Real-world impact: applications currently show fees ~1.82 JOD per 12m; correct is ~242 JOD per 12m (20*12 + 0.15*12 + ~1%). This is a 130× under-charge. (B) If policy is that the 150 fils/lm IS the JEA-imposed customer-facing fee (not the office minimum), that would need explicit JEA confirmation. Recommend blocking any SRV-001..006 fee-related work until this is resolved.",OPEN
DISC-002,JEA-TM2025-CH03-P036-005,SRV-001,Srv001PilotSeeder.php pilotFields() floor_count,"schema.fields[floor_count] is a plain applicant-entered integer (type=number, required=true, min=1).","Per p.36 §6.b floor_count for site-survey purposes is DERIVED as: max_regulation_floors + basement_count + mezzanine_count + roof_floor_if_area_le_50_m2, excluding hangars/agricultural without basement.",OVERGENERALIZATION,HIGH,NO,"Add derivation: floor_count_for_survey = derived_field with inputs (max_regulation_floors, basement_count, mezzanine_count, roof_area_m2, building_type). Applicant-entered floor_count becomes a raw input; the derivation feeds the exploration matrix. Currently applicants enter one number without any structure — matrix result may under-estimate.",OPEN
DISC-003,JEA-TM2025-BOOK2-P231-002,SRV-001,ExplorationRequirementMatrix.php areaBand() and MATRIX const,"For floor_area > 1200 the calculator returns SPECIAL_STUDY_REQUIRED with reason=AREA_EXCEEDS_ORDINARY_MATRIX. No calculation performed.","Per p.231 for area 1201-3000 m² and per p.231 for area >3000 m², the manual specifies EXPLICIT calculation rules: +1 borehole per 300m² (or part thereof) for 1201-3000; +1 borehole per 400m² (or part thereof) for >3000. These are CEILING (explicit via 'أو جزء منها').",UNDERGENERALIZATION,HIGH,NO,"Extend the matrix to handle area>1200 as: baseline_from_row_5 + ceil((area-1200)/300) for 1201-3000, then baseline_from_row_5 + ceil(1800/300) + ceil((area-3000)/400) for >3000. Only current TRULY-special-study cases would remain floor_count>=9. Preserves existing SPECIAL_STUDY safe behavior for floors>=9.",OPEN
DISC-004,JEA-TM2025-BOOK2-P231-001,SRV-001,ExplorationRequirementMatrix.php compute() return shape,"Returns minimum_total_depth_lm as raw matrix cell value (e.g. 10, 18, 43 lm).","Per p.231 header, +1 lm should be added PER BOREHOLE for foundation-depth allowance.",MISSED_PROVISION,MEDIUM,NO,"Add +1 lm * point_count adjustment: minimum_total_depth_lm_adjusted = matrix_value + minimum_exploration_point_count. Add regression tests confirming the adjustment for existing baseline examples.",OPEN
DISC-005,JEA-TM2025-CH03-P036-006,SRV-002 through SRV-006,ManualReferenceLinksSeeder documentLinks(),"JORD-85-srv (survey_contract) is only linked to SRV-001.",Per p.36 §6.c the survey-contract rule applies to ALL site-survey services (SRV-001..006 at minimum) since §6 governs 'استطلاع الموقع' as a shared class.,UNDERGENERALIZATION,MEDIUM,NO,"Extend documentLinks() map: 'JORD-85-srv' => ['SRV-00[1-6]' => ['survey_contract']]. Idempotent extension.",OPEN
DISC-006,JEA-TM2025-CH03-P036-009,SRV-002 through SRV-006,ManualReferenceLinksSeeder documentLinks(),JORD-86 (direct-submission-to-JEA) only linked to SRV-001,Same rule applies to SRV-002..006 per shared §6.و source,UNDERGENERALIZATION,MEDIUM,NO,Same fix as DISC-005 extending pattern to SRV-002..006,OPEN
DISC-007,JEA-TM2025-CH03-P037-002,SRV-002 through SRV-006,ManualReferenceLinksSeeder documentLinks(),JORD-87 (signature+responsibility) only linked to SRV-001,Same rule applies to SRV-002..006 per shared §6.ح source,UNDERGENERALIZATION,MEDIUM,NO,Same fix,OPEN
DISC-008,JEA-TM2025-CH03-P037-001,SRV-002 through SRV-006,ManualReferenceLinksSeeder + ManualReferencesSeeder JORD-88 text,"JORD-88 (10-day retention) only linked to SRV-001. text_ar does not mention the 2-day exception for expedited settlement excavations.","Per p.37 §6.ز the 10-day rule includes an EXCEPTION path: expedited settlement excavations require 2-day pre-notice to JEA.",MISSED_PROVISION,MEDIUM,NO,"Amend JORD-88 text_ar to include the 2-day exception, OR add a companion reference for the exception (e.g. JORD-88-exception). Extend links to SRV-002..006.",OPEN
DISC-009,JEA-TM2025-BOOK2-P219-001,SRV-002 through SRV-006,ManualReferenceLinksSeeder documentLinks(),JORD-90 (11-section technical content) only linked to SRV-001,Same rule applies to SRV-002..006,UNDERGENERALIZATION,MEDIUM,NO,Extend pattern,OPEN
DISC-010,JEA-TM2025-CH03-P034-010,DRW-P-001 through DRW-P-012,ManualReferenceLinksSeeder fieldLinks(),JORD-89 (cadastral content) only linked to SRV-001 cadastral fields,Per p.34 §1.ي the same rule applies to DRW-P-* inner pages,UNDERGENERALIZATION,LOW,NO,Extend to DRW-P-* if those services expose cadastral fields (currently they don't have basin_number/parcel_number fields in schema),OPEN
DISC-011,JEA-TM2025-CH03-P036-002+003,SRV-001,Srv001Guard.php applicability enforcement,"No applicability check: any SRV-001 submission is accepted regardless of area or governorate.","Per p.36 §6.a bullets 1+2: site survey mandatory only when area>100m² in Amman+governorate centers OR area>150m² outside. Applications for smaller buildings should not be filed.",MISSED_PROVISION,LOW,NO,"Optional: add applicability check that emits a warning (not a rejection) when area is below the threshold. Not a required rejection because the rule is 'when required' not 'when forbidden'.",OPEN
DISC-012,JEA-TM2025-BOOK2-P239-006,SRV-002,SurveyWorkflowsSeeder.php soilExistingWorkflow(),"5-stage workflow: office_submission, first_auditor, second_auditor, payment, issue_documents. No explicit JEA-site-inspection stage.","Per p.239 §a a JEA site inspection is an explicit part of the SRV-002 process (over and above the auditor review).",MISSED_PROVISION,MEDIUM,NO,"Add jea_site_inspection stage to soilExistingWorkflow after second_auditor_review. Represents physical inspection which currently is not surfaced.",OPEN
DISC-013,JEA-TM2025-CH03-P037-004+005+P038-001+002,SRV-003,Any existing SRV-003 schema/workflow,"SRV-003 exists as a service definition placeholder but has no fields, no documents, no workflow beyond generic defaults, no deposit calculator.","Per p.37 §6.ي + p.38 the deferred-execution path is a distinct service with 8 documentation requirements + a 2x deposit calculation + specific undertakings.",ACTIVATION_GAP,HIGH,YES,"SRV-003 is entirely unimplemented. Cannot be filed today. Requires a dedicated pilot analogous to SRV-001. Not part of Batch 01 scope but blocks any real SRV-003 filing.",DEFERRED_TO_FUTURE_BATCH
DISC-014,JEA-TM2025-CH03-P044-001,DRW-P-005/SRV-004,Any classification rule in the codebase,"No automatic large-project classification. Applications for DRW-P-005/SRV-004 are self-declared by service-code selection.","Per p.44 §13 large-project classification is triggered when ANY ONE of: area>25000m² OR survey_depth>350lm OR floors>15. Should be a validation rule.",MISSED_PROVISION,MEDIUM,NO,"Add classification helper (analogous to ExplorationRequirementMatrix) that flags projects meeting large-project criteria. Could be a warning at DRW-P-001..004/006-012 submit time suggesting reclassification to DRW-P-005.",OPEN
DISC-015,JEA-TM2025-CH03-P043-001,DRW-P-*,No routing implementation,Applications for all DRW-P-* go to a single reviewer workflow regardless of area or governorate.,"Per p.43 §10 there is an explicit area+governorate routing table: e.g. projects >10000m² in Zarqa/Irbid should be audited in Amman.",MISSED_PROVISION,MEDIUM,NO,"Model as a routing table with (governorate, area) → branch. Feed to workflow-stage assignment. Cross-cuts DRW-P-*. Deferrable to a Phase 2 batch focused on workflow routing.",DEFERRED
DISC-016,JEA-TM2025-CH07-P096-002,SRV-007 through SRV-014,FeeSurchargesSeeder,"1% syndicate + 40 fils/m² audit fee attached only to DRW-P-* and 1% syndicate + 150 fils/lm attached only to SRV-001..006.","Per p.96 §4.a.1 the 1% syndicate applies to 'اجمالي الاتعاب الهندسية' — implicitly all engineering services including SRV-007..014.",UNDERGENERALIZATION,LOW,NO,Extend syndicate 1% surcharge to SRV-007..014. Fee schedules for those services are still unresolved so this is a lower-priority fix.,OPEN
