COMPONENT,FILE_PATH,ENTRYPOINT,CALL_CHAIN,CONTAINER_BINDING,DATABASE_DEPS,CONFIG_DEPS,FRONTEND_DEPS,TEST_CALLER,RUNTIME_REACHABLE,CONFIDENCE
ServiceCatalogController,backend/modules/JeaServices/Http/Controllers/ServiceCatalogController.php,HTTP GET/POST/PUT/PATCH (Sanctum),Route → auth:sanctum → Controller,none (SchemaStructureValidator new each call),service_definitions,filesystems.default,ServiceCatalog.tsx / ServiceEditor.tsx,SharedServiceCatalogTest / AdminServicesIndexTest / ServiceLockingTest,DIRECT,HIGH
ApplicationController,backend/modules/JeaServices/Http/Controllers/ApplicationController.php,HTTP GET/POST/PUT (Sanctum + token.inactivity + password.policy + track.activity),Route → Middleware → Controller → validation pipeline → WorkflowEngine/FeeCalculator,CrossCuttingSubmissionPipeline + ServiceSubmissionGuardRegistry (singletons),"applications, application_documents, service_definitions, projects, users, audit_logs, application_reviews, certificates",filesystems.default,"Apply.tsx, ApplicationDetail.tsx, ReviewForm.tsx","ServiceSubmissionGuardRegistryTest, Srv001GuardTest, CadastralConflictGuardTest, OwnerMatchClearanceGuardTest",DIRECT,HIGH
WorkflowEngine,backend/modules/JeaServices/Engine/WorkflowEngine.php,invoked from ApplicationController + PaymentsController + PaymentCallbackController + CertificatesController + WorkflowEngineTest,Controller/job → WorkflowEngine::submit/claim/decide/confirmPayment/issueCertificate,not-singleton (new per call),"applications, application_reviews, certificates, application_counters, certificate_counters, audit_logs, notifications",app.env,none direct,"WorkflowEngineTest, CertificateSerialAllocationTest, ApplicationReferenceSerialTest, ConfirmPaymentFromReceiptTest, RealConcurrencyOnPostgresTest",DIRECT,HIGH
ServiceSubmissionGuardRegistry,backend/modules/JeaServices/Engine/ServiceSubmissionGuardRegistry.php,JeaServicesServiceProvider L91 singleton binding,ApplicationController::submit → registry::forService($code)->validate($app),singleton with map [SRV-001 => Srv001Guard],via consumers (no direct DB),none,none,ServiceSubmissionGuardRegistryTest,DIRECT,HIGH
CrossCuttingSubmissionPipeline,backend/modules/JeaServices/Engine/CrossCuttingSubmissionPipeline.php,JeaServicesServiceProvider singleton,ApplicationController::submit → pipeline::run($app) → [CadastralConflictGuard OwnerMatchClearanceGuard SanctionGuard CapacityGuard],singleton,"applications (cross-org read via withoutOrgScope), sanctions, quota_consumptions",none,none,"CadastralConflictGuardTest, OwnerMatchClearanceGuardTest, SanctionGuardTest, CapacityGuardTest",DIRECT,HIGH
Srv001Guard,backend/modules/JeaServices/Engine/Srv001Guard.php,SRV-001-only via registry,pipeline exits before this; registry dispatches only when service_code=SRV-001,not singleton (new instance in provider binding),"applications (via app.data write)",none,Apply.tsx (SRV-001 form only),Srv001GuardTest,INDIRECT (SRV-001 only),HIGH
CadastralConflictGuard,backend/modules/JeaServices/Engine/CadastralConflictGuard.php,CrossCuttingSubmissionPipeline component,pipeline::run → guard::validate → withoutOrgScope query on applications,not-singleton (constructed in pipeline),applications (cross-org read),none,none,CadastralConflictGuardTest,DIRECT,HIGH
OwnerMatchClearanceGuard,backend/modules/JeaServices/Engine/OwnerMatchClearanceGuard.php,CrossCuttingSubmissionPipeline component,pipeline::run → guard::validate → check same-owner clearance,not-singleton,"applications, application_documents (clearance docs)",none,none,OwnerMatchClearanceGuardTest,DIRECT,HIGH
WellsCountCalculator,backend/modules/JeaServices/Engine/WellsCountCalculator.php,invoked by Srv001Guard::meetingDerivedValues,Srv001Guard::validate → calculator::compute($area_m2),pure function (static),none,none,none,WellsCountCalculatorTest,INDIRECT (SRV-001 only),HIGH
NetDepthTable,backend/modules/JeaServices/Engine/NetDepthTable.php,invoked by Srv001Guard::meetingDerivedValues,Srv001Guard::validate → NetDepthTable::forFloors($n),pure lookup table,none,none,none,NetDepthTableTest,INDIRECT (SRV-001 only),HIGH
