SERVICE_CODE,ARABIC_NAME,ENGLISH_NAME,PARENT_CODE,PHASE,CATALOG,SCHEMA,DOCUMENTS,FEES,WORKFLOW,ELIGIBILITY,GUARDS,CALCULATIONS,INTEGRATIONS,FRONTEND,TESTS,RUNTIME_CONNECTION,UAT,PRODUCTION_ACTIVATION,NOTES
JEA-PROJ,مشاريعي,My Projects,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only; navigation category
JEA-SURV,استطلاع الموقع,Site Survey,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
JEA-FIN,الخدمات المالية,Financial Services,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
JEA-CERT,الشهادات الرسمية,Official Certificates,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
JEA-ENG,شؤون المهندسين,Engineer Affairs,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
JEA-DEC,قرارات المجلس,Board Decisions,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
JEA-MISC,خدمات متنوعة,Miscellaneous,,-,DEFINED,PLACEHOLDER,ABSENT,ABSENT,ABSENT,DEFINED,ABSENT,ABSENT,ABSENT,DEFINED,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Top-level tile only
DRW-P-001,مخططات الأبنية المقترحة,Proposed Building Drawings,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,15-doc manifest; matrix fee governorate×building_class; catalog:2026 workflow
DRW-P-002,مخططات الأبنية القائمة,Existing Building Drawings,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same schema/fee/workflow family as DRW-P-001
DRW-P-003,مخططات الأبنية المقترحة فوق الأبنية القائمة,Additions Over Existing,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same DRW-P family
DRW-P-004,مخططات الهدم,Demolition Drawings,JEA-PROJ,2,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Safety-review workflow variant
DRW-P-005,مخططات المشاريع الحكومية,Government Projects,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same DRW-P family
DRW-P-006,مخططات مشاريع الطاقة,Energy Projects,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Solar fee override 4 JOD/kW (SolarFeeSeeder)
DRW-P-007,مخططات المشاريع الكبرى,Large Projects,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Committee-review workflow variant
DRW-P-008,مخططات الدفاع المدني,Civil Defence Drawings,JEA-PROJ,2,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Safety-review workflow variant
DRW-P-009,دراسات إنشائية للأبنية القائمة,Existing Structural Studies,JEA-PROJ,2,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same DRW-P family
DRW-P-010,دراسات إنشائية عامة,General Structural Studies,JEA-PROJ,2,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same DRW-P family
DRW-P-011,إعادة تصديق مخططات مع إضافات,Drawing Re-approval With Additions,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,drawingsSimple 3-stage workflow
DRW-P-012,إعادة تصديق مخططات بدون إضافات,Drawing Re-approval No Additions,JEA-PROJ,1,DEFINED,PLACEHOLDER,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Half-fee variant
SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,Site Survey — Proposed Buildings,JEA-SURV,1,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,PILOT — only service with full schema + service-specific guard + 3 calculators
SRV-002,تقارير استطلاع الموقع للأبنية القائمة,Site Survey — Existing Buildings,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Real workflow (soilExistingWorkflow) + per-lm fee; no schema fields; no guard
SRV-003,تقارير استطلاع الموقع المؤجلة,Deferred Site Survey,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 workflow placeholder
SRV-004,تقارير استطلاع الموقع للمشاريع الكبرى,Site Survey — Large Projects,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 workflow placeholder
SRV-005,تقارير استطلاع الموقع لمشاريع الطاقة,Site Survey — Energy,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 workflow placeholder
SRV-006,تقارير استطلاع الموقع للمشاريع الحكومية,Site Survey — Government,JEA-SURV,1,DEFINED,PARTIAL,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Target of SRV-001 government routing; has length_lm
SRV-007,تقارير تدعيم الحفريات — تصميم وإشراف,Excavation Support — Design & Supervision,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Excavation fee 3.5 JOD/m²; real workflow from flowchart PDF
SRV-008,تقارير فحص المواد للأبنية المقترحة,Material Testing — Proposed,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Materials workflow; quota basis materials_testing
SRV-009,تقارير فحص مواد للأبنية القائمة,Material Testing — Existing,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Materials-existing workflow variant
