requirement_id,requirement_title,source_reference,source_status,business_approval_status,implementation_authorization,publication_authorization,release,component,domain_files,application_files,adapter_files,migration_files,test_files,acceptance_scenarios,runtime_status,blocking_ods,blocking_contracts,residual_ids,evidence_status,notes
FR-SS-001,"Applicant creates SRV-001 draft application","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Http/Controllers/ApplicationController.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,"FR-SS-001 explicitly named in SRS v1.2"
FR-SS-002,"Draft persists across sessions with data + documents","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Http/Controllers/ApplicationController.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-003,"Submit routes through atomic use case (RES-SG06-01 closure)","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/UseCases/SubmitApplication/SubmitApplicationUseCase.php,,,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-004,"Government-sector routing rejection to SRV-006","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Governance/Srv001/LegacySrv001SubmissionPolicy.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-005,"Application version-binding + audit persistence","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/UseCases/SubmitApplication/SubmitApplicationUseCase.php,,,tests/Feature/UseCases/SubmitApplicationAuditAndIdempotencyTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-006,"Schema field validation before submission","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Engine/SchemaValidator.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-007,"Required-document check before submission","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Engine/SchemaValidator.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-008,"Cross-cutting submission pipeline (CC-001, CC-002)","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Engine/CrossCuttingSubmissionPipeline.php,,,"tests/Feature/CadastralConflictGuardTest.php,tests/Feature/OwnerMatchClearanceGuardTest.php",,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-009,"Rejection preserves draft (no partial persistence)","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Http/Controllers/ApplicationController.php,,,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-010,"Cross-office isolation (404 on other-org access)","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Application,,modules/JeaServices/Http/Controllers/ApplicationController.php,,,tests/Feature/Srv001EndToEndFlowTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-011,"Site survey data model + DLS integration — requirement FR-SS-011","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-012,"Site survey data model + DLS integration — requirement FR-SS-012","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
