provision_id,manual_title,manual_year,chapter_number,chapter_title,section_number,section_title,page_number,paragraph_sequence,source_text_ar,normalized_rule_ar,rule_subject,rule_object,trigger,preconditions,required_conditions,prohibitions,exceptions,alternative_path,effect,failure_effect,responsible_actor,affected_actor,timing,duration,unit,formula,rounding_rule,evidence_level,interpretation_confidence,interpretation_status,notes
JEA-TM2025-CH03-P034-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,001,"تقدم جميع المعاملات للمشاريع الكترونياً للتدقيق الالكتروني بحيث يتم تحميل المخططات الكترونياً (معمارية، انشائية، كهربائية، ميكانيكية) معتمدة من رؤساء الاختصاص الأربعة حسب الأصول","جميع المعاملات تُقدَّم إلكترونياً؛ المخططات تُحمَّل معتمدة من رؤساء الاختصاصات الأربعة",office,plans,electronic-submission,none,submission-of-4-discipline-plans-with-chief-approvals,paper-submission,none,none,submission-accepted,submission-rejected,office,office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"Applies to DRW-P-* services. Executable via existing schema.documents[] required=true fields for architectural/structural/electrical/mechanical drawings"
JEA-TM2025-CH03-P034-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,002,"يطلب ادخال عقود الخدمات الهندسية وحسب النماذج المعتمدة في النقابة بحيث تكون موقعة بين المكتب الهندسي والمالك المشروع وحسب التعليمات السارية","عقود الخدمات الهندسية (تكليف عمل + اتفاقية تصميم + اتفاقية إشراف) موقعة بين المكتب والمالك تُقدَّم عبر النماذج المعتمدة",office,contracts,submission,contracts-executed-by-office-and-owner,submission-of-work-assignment-form-and-design-agreement-and-supervision-agreement,none,none,none,contracts-recorded,submission-blocked,office,office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"Three contracts named: تكليف عمل، اتفاقية خدمات هندسية تصميم + ملحق، اتفاقية خدمات هندسية للإشراف + ملحق. Existing repo: DrawingsDocumentsSeeder.php contains all three (work_assignment_form, design_services_agreement, supervision_services_agreement)"
JEA-TM2025-CH03-P034-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,003,"تحميل سند تسجيل ومخطط موقع ومخطط اراضي والسجل التجاري (اذا كان المالك شركة) ومخطط طبوغرافي","تحميل: سند تسجيل + مخطط موقع + مخطط أراضي + سجل تجاري (شرطي: المالك شركة) + مخطط طبوغرافي",office,ownership-and-site-documents,submission,none,submission-of-deed-and-site-plan-and-land-plan-and-topographic-plan,none,owner-not-a-company-excludes-commercial-register,none,documents-recorded,submission-blocked,office,office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"commercial_register is CONDITIONAL on owner=company. Existing DrawingsDocumentsSeeder marks it required=false with note about admin flipping per project."
JEA-TM2025-CH03-P034-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,004,"تحميل المذكرات الحسابية للمشروع (إنشائية، كهربائية، ميكانيك) للمشاريع التي تزيد مساحتها عن 250 م²","تحميل مذكرات حسابية (3 اختصاصات) شرطي: مساحة المشروع > 250 م²",office,calculation-notes,area-threshold-exceeded,total-project-area-greater-than-250-m2,submission-of-structural-electrical-mechanical-calculation-notes,none,area-le-250,none,documents-recorded,submission-blocked,office,office,at-submission,,area,area-m2>250,-,DIRECT,HIGH,CONFIRMED_WITH_CONDITION,"Conditional threshold. Existing DrawingsDocumentsSeeder has calculation_notes with note قيدها 250 م². Verify condition trigger implementation."
JEA-TM2025-CH03-P034-005,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,005,"تحميل تقرير استطلاع الموقع (فحص التربة) مدقق فنياً ومحدد فيه توصيات حماية الحفرية ومصادقاً عليه من النقابة (يقوم باعداد التقرير مكتب استطلاع موقع مؤهل ومسجل لدى نقابة المهندسين الأردنيين)","تقرير استطلاع الموقع (يشمل توصيات حماية الحفرية) مدقق فنياً ومصادق من النقابة؛ معد من مكتب استطلاع مؤهل ومسجل",office,site-investigation-report,submission,report-prepared-by-qualified-registered-survey-office,submission-of-technically-audited-report-with-excavation-recommendations-and-JEA-stamp,none,none,none,documents-recorded,submission-blocked,office,site-survey-office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"Cross-refs the DRW-P-* input side to SRV-001..006 output side. The site_investigation_report is a DELIVERABLE of SRV-* and an INPUT to DRW-P-*. Existing repo: DrawingsDocumentsSeeder includes it as required=true document."
JEA-TM2025-CH03-P034-006,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,006,"تحميل دراسة انشائية وسلامة منشأة للأبنية القائمة وحسب التعليمات السارية","للأبنية القائمة: تحميل دراسة إنشائية + سلامة منشأة",office,existing-building-safety-study,building-is-existing,building-classified-as-existing,submission-of-structural-safety-study,none,proposed-building,none,documents-recorded,submission-blocked,office,office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED_WITH_CONDITION,"Trigger = building.status=existing. Applies to DRW-P-002/003/008/009/010. NOT SRV-001. Existing repo: safety_study document conditional on status=existing."
JEA-TM2025-CH03-P034-007,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,007,"يجب ان تكون المعاملة بمقاس واحد طوليا وعرضيا","معاملة موحَّدة القياس طولياً وعرضياً",office,submission,submission,none,uniform-longitudinal-and-transverse-dimensions,none,none,none,submission-accepted,submission-rejected,office,office,at-submission,,-,-,-,DIRECT,MEDIUM,REFERENCE_ONLY,"Applies to physical paper submission historically; unclear how electronic submission reads this. Not currently enforced by any executable rule."
JEA-TM2025-CH03-P034-008,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,008,"لا يسمح باضافة اية معلومات او تعديلات بعد طباعة المخططات كشطاً او كتابة عليها وان تكون جميع النسخ خالية من العيوب الكتابية","لا كشط ولا تعديل بعد الطباعة؛ نسخ نظيفة من العيوب الكتابية",office,printed-plans,after-print,plans-printed,submission-of-clean-copies,post-print-erasures-or-additions-or-writing,none,none,submission-accepted,submission-rejected,office,office,at-submission,,-,-,-,PROHIBITION,MEDIUM,REFERENCE_ONLY,"Cannot be enforced electronically for PDF uploads without image analysis. Reviewer guidance only."
JEA-TM2025-CH03-P034-009,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,009,"يجب ان تحوي لوحة الغلاف على اسماء رؤساء الاختصاصات وأختام المكاتب وارقامها واما الصفحات الداخلية فتحمل اسم المصمم والمدقق","لوحة الغلاف: أسماء رؤساء الاختصاصات + أختام المكاتب + الأرقام. الصفحات الداخلية: اسم المصمم + المدقق",office,cover-and-inner-pages,submission,plans-being-prepared,cover-carries-specialty-heads-plus-office-stamps-plus-numbers-and-inner-pages-carry-designer-name-and-auditor-name,none,none,none,plans-accepted,plans-rejected,office,office,at-submission,,-,-,-,DOCUMENT_CONTENT_REQUIREMENT,HIGH,CONFIRMED,"Document-content requirement (analogous to JORD-89 cadastral content). Reviewer-verified. Not applicant-enterable field."
JEA-TM2025-CH03-P034-010,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,1,اجراءات ادخال المخططات الهندسية للتدقيق الإلكتروني,34,010,"يجب ان تحوي جميع الصفحات الداخلية رقم القطعة واسم ورقم الحوض واسم مالك المشروع","الصفحات الداخلية للتقرير تحوي: رقم القطعة + اسم الحوض + رقم الحوض + اسم مالك المشروع",office,inner-pages-content,submission,plans-being-prepared,each-inner-page-carries-parcel-number-plus-basin-name-plus-basin-number-plus-project-owner-name,none,none,none,plans-accepted,plans-rejected,office,office,at-submission,,-,-,-,DOCUMENT_CONTENT_REQUIREMENT,HIGH,CONFIRMED,"This is the origin of JORD-89 cadastral identification content rule. Existing repo: attached to basin_number/parcel_number/basin_or_location_name/contract_owner_name fields on SRV-001. Applies to DRW-P-* as well."
