question_id,area,question_ar,question_en,blocks_which_service,impact_severity,proposed_answers,evidence_needed_from_JEA,status
UNQ-001,fee_rate,هل رسم استطلاع الموقع 20 دينار/م.ط (ص.93) هو الرسم الذي يدفعه الزبون للمكتب، وهل 150 فلس/م.ط (ص.96) هو رسم النقابة الذي يُضاف؟,Is the 20 JOD/lm on p.93 the office fee to be billed to the client and the 150 fils/lm on p.96 a JEA-imposed surcharge on top?,SRV-001+SRV-002+SRV-003+SRV-004+SRV-005+SRV-006 fee calculation,CRITICAL,"(A) 20 JOD/lm office + 0.15 JOD/lm syndicate + 1% on total (as manual literally reads). (B) 150 fils/lm is a per-unit fee that JEA passes through to the office (unlikely reading).",official JEA clarification of fee-schedule interpretation on ch7 §1.هـ and §4.أ.2,BLOCKING_DISC_001
UNQ-002,rounding,ما هي قاعدة تقريب الكسور (2/3 حفر تجريبية و 1/3 آبار سبرية) في ص.239؟,What is the rounding rule for the 2/3 test-pits and 1/3 boreholes fractions on p.239?,SRV-002,HIGH,"CEILING / FLOOR / DISTRIBUTION_PRESERVING_TOTAL / reviewer-determined per case",JEA clarification whether integer allocation is deterministic or per-case reviewer decision,BLOCKING_SRV002_EXECUTABLE_RULES
UNQ-003,scope_boundary,هل حالة ADDITION_ABOVE_EXISTING تنتمي إلى SRV-002 أم SRV-010 (إعادة تصديق مع إضافات)؟,Does ADDITION_ABOVE_EXISTING map to SRV-002 (existing-building survey) or SRV-010 (survey re-approval with additions)?,SRV-002+SRV-010,HIGH,"(A) SRV-010 as workflow with SRV-002 §ب content as inputs. (B) SRV-002 covers all p.239 §ب including additions. (C) Both — SRV-010 for the re-approval workflow with SRV-002 §ب content pre-populated.",JEA clarification of the service-boundary for building additions,BLOCKING_SRV002_ENUM_VALUES
UNQ-004,scope_boundary,هل SRV-002 §ب item 7 (التقرير الفني الإنشائي) هو نفس تقرير SRV-009؟,Is SRV-002 §ب item 7 (structural technical report) the same as SRV-009 deliverable?,SRV-002+SRV-009,MEDIUM,"(A) SRV-009 IS the deliverable that SRV-002 §ب references. (B) SRV-002 has its own STRUCTURAL_STUDY report that references SRV-009 lab tests.",JEA clarification on whether SRV-002 and SRV-009 overlap or are separate,BLOCKING_SRV002_DOCUMENTS
UNQ-005,fee_rate,ما هو 'السعر المعتمد' لعقد فرق الأمتار في ص.38 §6.م؟,Which fee schedule does 'السعر المعتمد' refer to for the depth-difference contract on p.38 §6.م?,SRV-002,MEDIUM,"(A) Same as base survey office fee (20 JOD/lm per resolved UNQ-001). (B) A separate schedule not in the manual.",JEA fee-schedule reference,BLOCKING_DEPTH_DIFFERENCE_FEE
UNQ-006,semantic_field,ما هو المعنى الرسمي لحقل 'المديرية' في نموذج SRV-*؟,What is the official meaning of the directorate_name field in SRV-* forms?,SRV-001+SRV-002+all SRV-*,LOW,"(A) دائرة الأراضي (Land Department). (B) المديرية الإدارية (Administrative Directorate). (C) Free text.",JEA clarification,NON_BLOCKING_SRV001_PILOT_ALREADY_CONFIRMED
UNQ-007,workflow,هل توجد مرحلة كشف موقع من النقابة (JEA site inspection) رسمية في workflow SRV-002 حسب ص.239؟,Is JEA site inspection a formal workflow stage for SRV-002 per p.239?,SRV-002,MEDIUM,"(A) Yes — dedicated stage after second_auditor_review. (B) Handled inside second_auditor_review stage.",JEA workflow confirmation,NON_BLOCKING_BUT_AFFECTS_UI
UNQ-008,derivation,هل يجب اعتبار floor_count = عدد الطوابق الأقصى + التسويات + السدود + الروف (ص.36 §6.ب) قاعدة إلزامية أم إرشادية؟,Is the p.36 §6.b floor-count derivation (max + basements + mezzanines + roof-if-small) mandatory or advisory?,SRV-001+SRV-002,MEDIUM,"(A) Mandatory — applicant enters components separately and system derives. (B) Advisory — applicant enters derived floor_count directly. (C) Hybrid — both allowed with warnings.",JEA clarification on binding force of the derivation,NON_BLOCKING_BUT_AFFECTS_MATRIX_ACCURACY
UNQ-009,cross_service,هل SRV-007 (تصميم تدعيم) وSRV-012 (إشراف تدعيم) خدمتان مستقلتان أم مرحلتان في خدمة واحدة؟,Are SRV-007 (design) and SRV-012 (supervision) truly separate services or two stages of one service?,SRV-007+SRV-012,MEDIUM,"(A) Separate services filed separately. (B) One service with two workflow branches. (C) SRV-007 default with SRV-012 as follow-on when supervising office differs.",JEA clarification of service-decomposition intent,NON_BLOCKING_FEE_CALCULATION_UNAFFECTED
UNQ-010,scope,هل تنطبق على SRV-005 (مشاريع الطاقة) قواعد SRV-001 (المقترحة) الافتراضية أم قواعد خاصة؟,Do proposed-building rules from SRV-001 apply to SRV-005 (energy projects) by default or are special rules required?,SRV-005,LOW,"(A) SRV-001 rules apply with additions from ch5 (renewable energy). (B) SRV-005 has independent rule set.",JEA clarification of SRV-005 scope,DEFERRED_TO_CH5_BATCH
