SERVICE_CODE,PARENT_CODE,PHASE,FEE_STATUS,FEE_EVIDENCE,WORKFLOW_STATUS,WORKFLOW_EVIDENCE,DOCUMENT_STATUS,DOCUMENT_EVIDENCE,FIELDS_STATUS,GUARD_STATUS,CALCULATOR_STATUS,RUNTIME_WIRING,BUSINESS_APPROVAL,SRS_CONFORMANCE
JEA-PROJ,,-,ABSENT,parent tile — no fee,ABSENT,parent tile — no workflow,ABSENT,parent tile — no docs,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-SURV,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-FIN,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-CERT,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-ENG,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-DEC,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
JEA-MISC,,-,ABSENT,parent tile,ABSENT,parent tile,ABSENT,parent tile,ABSENT,ABSENT,ABSENT,CATALOG_ONLY,UNCONFIRMED,NOT_APPLICABLE
DRW-P-001,JEA-PROJ,1,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63) — technical reference not JEA-signed,TEMPLATE,CatalogWorkflowsSeeder drawings template,FAMILY_INHERITED,DrawingsDocumentsSeeder 15-doc manifest,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-002,JEA-PROJ,1,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-003,JEA-PROJ,1,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-004,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder drawingsSafety template,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-005,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-006,JEA-PROJ,2,REAL_UNAPPROVED,SolarFeeSeeder (JORD-64 solar 4 JOD/kW),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-007,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-008,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-009,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-010,JEA-PROJ,2,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,FAMILY_INHERITED,DrawingsDocumentsSeeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-011,JEA-PROJ,1,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder drawingsSimple,ABSENT,no doc seeder applies,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DRW-P-012,JEA-PROJ,1,REAL_UNAPPROVED,DrawingFeeMatrixSeeder (JORD-63),TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder applies,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-001,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder (150 fils/lm + 1%; JORD-78),SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder soilProposedWorkflow (flowchart source not JEA-signed),SERVICE_SPECIFIC_UNAPPROVED,Srv001PilotSeeder (2 docs),REAL_UNAPPROVED (28 fields from Srv001PilotSeeder),SERVICE_SPECIFIC_UNAPPROVED (Srv001Guard),PROVISIONAL (WellsCountCalculator + NetDepthTable) + REAL_UNAPPROVED (ExplorationRequirementMatrix cites كتاب التعليمات الفنية 2025),PILOT_COMPLETE,PARTIAL_OR_UNCONFIRMED,INCOMPLETE
SRV-002,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder,SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder soilExistingWorkflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
