service_code,matrix_row,field_key,label_ar,field_role,primary_secondary_shared,required_optional_conditional,manual_provision_ids,existing_repository_field,existing_field_type,proposed_canonical_type,editable_by,derived,calculation_owner,validation_owner,workflow_owner,decision,gap_reason
SRV-001,workbook-row-42,existing_built_area,المساحة القائمة,DISPLAY-only shared with DRW-P-002/003/008-011/SRV-009-011,SHARED,OPTIONAL,-,NOT_PRESENT,-,number(m²),APPLICANT,NO,-,-,-,PROPOSE_ADD_FOR_SRV002_NOT_SRV001,Not needed for SRV-001 (proposed buildings). Belongs to SRV-002 conditional flow.
SRV-001,not-in-workbook,length_lm,الطول (م.ط),FEE_INPUT,PRIMARY_SRV001,REQUIRED,JEA-TM2025-CH07-P093-001;JEA-TM2025-CH07-P096-002,length_lm,number,number(lm),APPLICANT,NO,SiteSurveyFeesSeeder,-,-,KEEP,Field is present. Fee rate DISCREPANCY (DISC-001).
SRV-001,not-in-workbook,project_sector,نوع الجهة المالكة,ROUTING,PRIMARY_SRV001,REQUIRED,-,project_sector,select,select(خاص/حكومي),APPLICANT,NO,-,Srv001Guard,-,KEEP,Routing enum for SRV-006 government referral. Manually derived from context — no direct manual textual evidence in Batch 01 pages read.
SRV-001,not-in-workbook,governorate,المحافظة,FIELD_GUIDANCE,SHARED_WITH_DRW,REQUIRED,JEA-TM2025-CH03-P036-002;JEA-TM2025-CH03-P036-003;JEA-TM2025-CH03-P043-001,governorate,select,select(12 options),APPLICANT,NO,-,-,-,KEEP,Also drives audit routing (DISC-015) and applicability threshold (§6.a).
SRV-001,not-in-workbook,directorate_name,المديرية,DISPLAY,PRIMARY_SRV001,REQUIRED,-,directorate_name,text,text,APPLICANT,NO,-,-,-,KEEP_WITH_NEEDS_JEA_CONFIRMATION,Semantic ambiguity (Land Department vs administrative) not resolved in Batch 01 pages read.
SRV-001,not-in-workbook,village_name,القرية,DISPLAY,PRIMARY_SRV001,REQUIRED,-,village_name,text,text,APPLICANT,NO,-,-,-,KEEP,
SRV-001,not-in-workbook,neighborhood_name,الحي,DISPLAY,PRIMARY_SRV001,OPTIONAL,-,neighborhood_name,text,text,APPLICANT,NO,-,-,-,KEEP,
SRV-001,not-in-workbook,basin_number,رقم الحوض,DOCUMENT_CONTENT_INPUT,SHARED_WITH_DRW,REQUIRED,JEA-TM2025-CH03-P034-010,basin_number,text,text(leading-zero-safe),APPLICANT,NO,-,-,-,KEEP,Origin of JORD-89 rule.
SRV-001,not-in-workbook,basin_or_location_name,اسم الحوض/الموقع,DOCUMENT_CONTENT_INPUT,SHARED_WITH_DRW,REQUIRED,JEA-TM2025-CH03-P034-010,basin_or_location_name,text,text,APPLICANT,NO,-,-,-,KEEP,
SRV-001,not-in-workbook,parcel_number,رقم القطعة,DOCUMENT_CONTENT_INPUT,SHARED_WITH_DRW,REQUIRED,JEA-TM2025-CH03-P034-010,parcel_number,text,text(leading-zero-safe),APPLICANT,NO,-,-,-,KEEP,
SRV-001,not-in-workbook,contract_owner_name,اسم صاحب العقد,DOCUMENT_CONTENT_INPUT,SHARED_WITH_DRW,REQUIRED,JEA-TM2025-CH03-P034-010,contract_owner_name,text,text,APPLICANT,NO,-,-,-,KEEP,
SRV-001,not-in-workbook,floor_count,عدد الطوابق,CALCULATION_INPUT,PRIMARY_SRV001,REQUIRED,JEA-TM2025-CH03-P036-005;JEA-TM2025-BOOK2-P230-001,floor_count,number,number(derived-from-inputs),DERIVED_FROM_APPLICANT_INPUTS,YES,SurveyFloorCountDerivation (proposed),Srv001Guard,-,PROPOSE_CONVERT_TO_DERIVED,DISC-002: current raw applicant input misses the basement+mezzanine+roof-if-small rule.
SRV-001,not-in-workbook,floor_area,مساحة الطابق (م²),CALCULATION_INPUT,PRIMARY_SRV001,REQUIRED,JEA-TM2025-CH03-P036-002+003+004;JEA-TM2025-BOOK2-P230-001,floor_area,number,number(adjusted-for-projections),APPLICANT_WITH_DERIVATION,YES (per §6.a bullet 3),TotalAreaDerivation (proposed),Srv001Guard,-,KEEP+ADD_DERIVATION_NOTE,Derivation excludes decorative projections + stair-roof + canopies for the applicability check. Not required for matrix input which uses raw floor area.
SRV-001,not-in-workbook,land_or_contract_area,مساحة الأرض / العقد (م²),CONTEXT,PRIMARY_SRV001,OPTIONAL,-,land_or_contract_area,number,number,APPLICANT,NO,-,-,-,KEEP,No direct manual evidence in Batch 01 pages read.
SRV-001,not-in-workbook,proposed_built_area,المساحة الإجمالية المقترحة (م²),CONTEXT,PRIMARY_SRV001,OPTIONAL,-,proposed_built_area,number,number,APPLICANT,NO,-,-,-,KEEP,No direct evidence.
SRV-001,not-in-workbook,minimum_exploration_point_count,الحد الأدنى لعدد نقاط الاستكشاف,DERIVED,PRIMARY_SRV001,READ_ONLY,JEA-TM2025-BOOK2-P230-001;JEA-TM2025-BOOK2-P231-002+003,minimum_exploration_point_count,number(read_only),number(read_only),SYSTEM,YES,ExplorationRequirementMatrix,Srv001Guard,-,KEEP+EXTEND_MATRIX,DISC-003: extend matrix for area>1200 per p.231-002+003.
SRV-001,not-in-workbook,minimum_total_depth_lm,الحد الأدنى لمجموع الأعماق (م.ط),DERIVED,PRIMARY_SRV001,READ_ONLY,JEA-TM2025-BOOK2-P230-001;JEA-TM2025-BOOK2-P231-001,minimum_total_depth_lm,number(read_only),number(read_only),SYSTEM,YES,ExplorationRequirementMatrix,Srv001Guard,-,KEEP+ADD_FOUNDATION_ADJUSTMENT,DISC-004: add +1 lm per borehole.
SRV-001,not-in-workbook,actual_exploration_point_count,عدد نقاط الاستكشاف المنفذة,CALCULATION_OUTPUT,PRIMARY_SRV001,REQUIRED,JEA-TM2025-BOOK2-P230-001;JEA-TM2025-CH03-P038-005,actual_exploration_point_count,number,number,APPLICANT,NO,-,Srv001Guard,-,KEEP,
SRV-002,not-in-workbook,proposed_baseline_exploration_points,عدد نقاط الاستكشاف للأبنية المقترحة (الأساس),DERIVED,PRIMARY_SRV002,READ_ONLY,JEA-TM2025-BOOK2-P239-002,-,-,number(read_only),SYSTEM,YES,ExplorationRequirementMatrix (reuse),-,-,PROPOSE_ADD,Baseline for 2/3 + 1/3 derivation. Reuses SRV-001's ExplorationRequirementMatrix.
SRV-002,not-in-workbook,required_test_pit_count,عدد الحفر التجريبية المطلوبة,DERIVED,PRIMARY_SRV002,READ_ONLY,JEA-TM2025-BOOK2-P239-003,-,-,number_or_rational(read_only),SYSTEM,YES,ExistingBuildingExplorationDerivation (proposed),-,-,PROPOSE_ADD_WITH_ROUNDING_UNRESOLVED,2/3 rule with UNRESOLVED rounding.
SRV-002,not-in-workbook,required_borehole_count,عدد الآبار السبرية المطلوبة,DERIVED,PRIMARY_SRV002,READ_ONLY,JEA-TM2025-BOOK2-P239-004,-,-,number_or_rational(read_only),SYSTEM,YES,ExistingBuildingExplorationDerivation (proposed),-,-,PROPOSE_ADD_WITH_ROUNDING_UNRESOLVED,1/3 rule with UNRESOLVED rounding.
SRV-002,not-in-workbook,actual_test_pit_count,عدد الحفر التجريبية المنفذة,CALCULATION_OUTPUT,PRIMARY_SRV002,REQUIRED,JEA-TM2025-BOOK2-P239-003,-,-,number,APPLICANT,NO,-,-,-,PROPOSE_ADD,
SRV-002,not-in-workbook,actual_borehole_count,عدد الآبار السبرية المنفذة,CALCULATION_OUTPUT,PRIMARY_SRV002,REQUIRED,JEA-TM2025-BOOK2-P239-004,-,-,number,APPLICANT,NO,-,-,-,PROPOSE_ADD,
SRV-002,not-in-workbook,borehole_access_status,حالة الوصول إلى مواقع الحفر,ROUTING,PRIMARY_SRV002,REQUIRED,JEA-TM2025-BOOK2-P239-004;JEA-TM2025-CH03-P037-004,-,-,select(ACCESSIBLE/BLOCKED_SUBSTITUTED_WITH_PITS),APPLICANT,NO,-,Srv002Guard (proposed),-,PROPOSE_ADD,Substitution trigger.
SRV-002,not-in-workbook,existing_building_case,حالة المبنى القائم,ROUTING,PRIMARY_SRV002,REQUIRED,JEA-TM2025-BOOK2-P239-007,-,-,select(EXISTING_UNLICENSED/LICENSING/CHANGE_OF_USE),APPLICANT,NO,-,Srv002Guard (proposed),-,PROPOSE_ADD_WITH_ADDITION_UNRESOLVED,ADDITION_ABOVE_EXISTING may map to SRV-010 instead — see mapping matrix.
DRW-P-001,not-in-workbook,governorate,المحافظة,FEE_INPUT+ROUTING,SHARED_WITH_SRV,REQUIRED,JEA-TM2025-CH07-P092-001+002;JEA-TM2025-CH03-P043-001,governorate,select,select(12 options),APPLICANT,NO,DrawingFeeMatrixSeeder,-,-,KEEP,Also drives routing (DISC-015).
DRW-P-001,not-in-workbook,building_class,صنف المبنى,FEE_INPUT,PRIMARY_DRW,REQUIRED,JEA-TM2025-CH07-P092-001+002,building_class,select,select(4 rows),APPLICANT,NO,DrawingFeeMatrixSeeder,-,-,KEEP,
DRW-P-001,not-in-workbook,area_m2,المساحة (م²),FEE_INPUT,PRIMARY_DRW,REQUIRED,JEA-TM2025-CH07-P092-001+002,area_m2,number,number,APPLICANT,NO,DrawingFeeMatrixSeeder,-,-,KEEP,
DRW-P-006,not-in-workbook,capacity_kw,السعة (كيلوواط),FEE_INPUT,PRIMARY_DRW006,REQUIRED,JEA-TM2025-CH07-P092-004,capacity_kw,number,number,APPLICANT,NO,SolarFeeSeeder,-,-,KEEP,
