service_code,document_id,label_ar,category,report_type,base_or_conditional,trigger,required,applicant_uploaded,reviewer_generated,manual_provision_ids,accepted_file_types,maximum_size,signature_requirements,document_content_requirements,workflow_stage,reports_panel_visibility,existing_repository_support,decision,gap_reason
SRV-001,survey_contract,عقد استطلاع الموقع,CONTRACT,-,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P036-006,pdf,10MB,-,none,office_submission,NO,PRESENT (Srv001PilotSeeder),KEEP,
SRV-001,site_investigation_report,تقرير استطلاع الموقع,REPORT,SITE_INVESTIGATION_REPORT,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P036-005;JEA-TM2025-CH03-P037-002;JEA-TM2025-CH03-P036-008;JEA-TM2025-CH03-P036-009;JEA-TM2025-BOOK2-P219-001,pdf,25MB,{signing_role:HEAD_OF_SPECIALIZATION;name+registration required},{basin/parcel/owner on inner pages;detailed site plan;11-section content;JEA stamp},office_submission,YES,PRESENT (Srv001PilotSeeder),KEEP,
SRV-001,licensed_surveyor_report,تقرير مساح مرخص,DOCUMENT,-,CONDITIONAL,alternative to office-produced parcel report,YES (OR office_parcel_report),YES,NO,JEA-TM2025-CH03-P036-007,pdf,10MB,-,parcel boundaries+dimensions+topography+surroundings,office_submission,NO,NOT_PRESENT,PROPOSE_ADD,New candidate document; provision requires EITHER a licensed surveyor's map/report OR the office's own parcel report.
SRV-002,survey_contract,عقد استطلاع الموقع,CONTRACT,-,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P036-006,pdf,10MB,-,none,office_submission,NO,NOT_PRESENT_ON_SRV002 (SRV-001 has it),PROPOSE_ADD_SAME_AS_SRV001,Reuse via manual-reference-links pattern.
SRV-002,site_investigation_report,تقرير استطلاع الموقع,REPORT,SITE_INVESTIGATION_REPORT,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P036-005;JEA-TM2025-CH03-P037-002;JEA-TM2025-CH03-P036-009;JEA-TM2025-BOOK2-P219-001;JEA-TM2025-BOOK2-P239-001+002,pdf,25MB,{signing_role:HEAD_OF_SPECIALIZATION},{11-section content plus 2/3 test-pit + 1/3 borehole distribution documentation},office_submission,YES,NOT_PRESENT_ON_SRV002,PROPOSE_ADD,
SRV-002,structural_study_nonconformance,دراسة إنشائية (عدم تطابق),REPORT,STRUCTURAL_STUDY,CONDITIONAL,reviewer_finding: report_design_nonconformance,YES (when triggered),YES,NO,JEA-TM2025-CH03-P038-003,pdf,25MB,-,depth-of-negligible-impact + structural analysis,post_first_review (reviewer request path),YES,NOT_PRESENT,PROPOSE_ADD,Case A CONFIRMED trigger. Reviewer-set flag not applicant checkbox.
SRV-002,depth_difference_contract,عقد بفرق الأمتار,CONTRACT,-,CONDITIONAL,reviewer_finding: report_design_nonconformance,YES (when triggered),YES,NO,JEA-TM2025-CH03-P038-003,pdf,10MB,-,-,post_first_review,NO,NOT_PRESENT,PROPOSE_ADD_WITH_FEE_UNRESOLVED,Case A CONFIRMED. Fee schedule 'بالسعر المعتمد' UNRESOLVED.
SRV-002,sensory_inspection_report,تقرير الكشف الحسي,REPORT,SENSORY_INSPECTION,CONDITIONAL,existing_building_case in {LICENSING/CHANGE_OF_USE/possibly ADDITION},YES (when triggered),YES,NO,JEA-TM2025-BOOK2-P239-007,pdf,25MB,-,cracks+settlement+bulging+rebar corrosion+concrete degradation,office_submission,YES,NOT_PRESENT,PROPOSE_ADD,§ب item 1 conditional
SRV-002,foundation_inspection_report,تقرير الكشف على الأساسات,REPORT,FOUNDATION_INSPECTION,CONDITIONAL,existing_building_case in {LICENSING/CHANGE_OF_USE/possibly ADDITION},YES (when triggered),YES,NO,JEA-TM2025-BOOK2-P239-008,pdf,25MB,-,foundation depth+layer+dimensions+soil properties+humidity+concrete core strength,office_submission,YES,NOT_PRESENT,PROPOSE_ADD,§ب item 2 conditional
SRV-002,existing_structural_drawings,مخططات إنشائية للواقع القائم,REPORT,STRUCTURAL_ASBUILT,CONDITIONAL,existing_building_case triggers,YES (when triggered),YES,NO,JEA-TM2025-BOOK2-P240-002,pdf,25MB,-,as-built representation of structural elements,office_submission,YES,NOT_PRESENT,PROPOSE_ADD,§ب item 4
