provision_id,service_code,service_name_ar,service_family,applicability,relationship_type,trigger_override,service_specific_condition,service_specific_effect,target_type,target_id,base_or_conditional,applicant_or_reviewer_owned,executable,excluded,exclusion_reason,mapping_confidence,mapping_status,repository_evidence,manual_evidence,notes
JEA-TM2025-CH03-P034-001,DRW-P-001,مخططات الأبنية المقترحة,JEA-PROJ,DIRECT,DOCUMENT_REQUIREMENT,,none,architectural+structural+electrical+mechanical drawings required,document,architectural_drawings/structural_drawings/electrical_drawings/mechanical_drawings,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder installs the 4 required drawings docs on DRW-P-001..010,p.34 §1.a,4 discipline-heads chief approval reviewer-verified
JEA-TM2025-CH03-P034-001,DRW-P-002,مخططات الأبنية القائمة,JEA-PROJ,SHARED,DOCUMENT_REQUIREMENT,,none,same 4 drawings,document,architectural_drawings/structural_drawings/electrical_drawings/mechanical_drawings,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder covers DRW-P-002,p.34 §1.a,
JEA-TM2025-CH03-P034-001,DRW-P-003 through DRW-P-012,-,JEA-PROJ,SHARED,DOCUMENT_REQUIREMENT,,none,same 4 drawings,document,4-discipline-drawings,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder,p.34 §1.a,Applies to entire DRW-P-* family
JEA-TM2025-CH03-P034-002,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,DOCUMENT_REQUIREMENT,,none,contracts required at submission,document,work_assignment_form/design_services_agreement/supervision_services_agreement,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder contains all 3,p.34 §1.b,3 named contract documents
JEA-TM2025-CH03-P034-003,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,DOCUMENT_REQUIREMENT,,commercial_register conditional on owner=company,ownership+site documents,document,registration_deed/site_plan/land_plan/topographic_plan/commercial_register,BASE_WITH_CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder,p.34 §1.c,
JEA-TM2025-CH03-P034-004,DRW-P-001 through DRW-P-012,-,JEA-PROJ,CONDITIONAL,DOCUMENT_REQUIREMENT,area>250_m2,calculation notes triggered by area,document,calculation_notes,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder marks calculation_notes with 250m² note,p.34 §1.d,Conditional trigger not currently enforced in the schema.conditional field
JEA-TM2025-CH03-P034-005,DRW-P-001,مخططات الأبنية المقترحة,JEA-PROJ,DIRECT,DOCUMENT_REQUIREMENT,,site investigation report input to plans,document,site_investigation_report,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder includes site_investigation_report,p.34 §1.e,Cross-service: this is SRV-001 OUTPUT that becomes DRW-P-* INPUT
JEA-TM2025-CH03-P034-005,DRW-P-002 through DRW-P-012,-,JEA-PROJ,SHARED,DOCUMENT_REQUIREMENT,,site investigation report input,document,site_investigation_report,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder,p.34 §1.e,
JEA-TM2025-CH03-P034-006,DRW-P-002,مخططات الأبنية القائمة,JEA-PROJ,DIRECT,CONDITIONAL_DOCUMENT,building_status=existing,structural safety study for existing buildings,document,structural_safety_study/existing_building_safety_study,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,DrawingsDocumentsSeeder has safety_study conditional,p.34 §1.f,
JEA-TM2025-CH03-P034-006,DRW-P-003,مخططات الأبنية المقترحة فوق الأبنية القائمة,JEA-PROJ,DIRECT,CONDITIONAL_DOCUMENT,building_status=existing,safety study applies to base building,document,structural_safety_study,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,,p.34 §1.f,ADDITION_ABOVE_EXISTING case
JEA-TM2025-CH03-P034-006,DRW-P-008,المخططات التعديلية,JEA-PROJ,SHARED,CONDITIONAL_DOCUMENT,building_status=existing,,document,structural_safety_study,CONDITIONAL,APPLICANT,YES,NO,,MEDIUM,PROVISIONAL,,p.34 §1.f,Modifications on existing buildings likely trigger
JEA-TM2025-CH03-P034-006,DRW-P-009,مخططات إعادة التأهيل / الصيانة,JEA-PROJ,DIRECT,CONDITIONAL_DOCUMENT,rehab/maintenance is always on existing,,document,structural_safety_study,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,,p.34 §1.f,
JEA-TM2025-CH03-P034-010,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,DOCUMENT_CONTENT_REQUIREMENT,,cadastral content on inner pages,rule,cadastral_identification_content,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,JORD-89 attached to SRV-001 cadastral fields; SHOULD extend to DRW-P-*,p.34 §1.y,
JEA-TM2025-CH03-P034-010,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_CONTENT_REQUIREMENT,,basin/parcel/owner on inner report pages,rule,cadastral_identification_content,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,JORD-89 linked to SRV-001 basin_number/parcel_number/basin_or_location_name/contract_owner_name,p.34 §1.y,VERIFIED alignment
JEA-TM2025-CH03-P034-010,SRV-002 through SRV-014,-,JEA-SURV,SHARED,DOCUMENT_CONTENT_REQUIREMENT,,same cadastral content rule,rule,cadastral_identification_content,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,,p.34 §1.y,Should extend to all SRV-* not just SRV-001
